date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:40:09	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f7bc6b3-239b%22	https://darkmoddervc.github.io/robots.txt		(from )
20:40:09	1896/1896	---M-Z	200	added ('OK')	text/html	etag:W/%226055f076-768%22	https://darkmoddervc.github.io/PS4JB/	C:/Mie%20pagine%20Web/ps4%20jailbreak%20dump/darkmoddervc.github.io/PS4JB/index.html	(from )
20:40:09	226891/226891	---M--	200	added ('OK')	image/jpeg	etag:%226055f076-3764b%22	https://darkmoddervc.github.io/PS4JB/ps4.jpg	C:/Mie%20pagine%20Web/ps4%20jailbreak%20dump/darkmoddervc.github.io/PS4JB/ps4.jpg	(from https://darkmoddervc.github.io/PS4JB/)
20:40:09	7831/7831	---M-Z	200	added ('OK')	text/html	etag:W/%226055f076-1e97%22	https://darkmoddervc.github.io/PS4JB/index672.html	C:/Mie%20pagine%20Web/ps4%20jailbreak%20dump/darkmoddervc.github.io/PS4JB/index672.html	(from https://darkmoddervc.github.io/PS4JB/)
20:40:09	3291/3291	---M-Z	200	added ('OK')	text/html	etag:W/%226055f076-cdb%22	https://darkmoddervc.github.io/PS4JB/index702.html	C:/Mie%20pagine%20Web/ps4%20jailbreak%20dump/darkmoddervc.github.io/PS4JB/index702.html	(from https://darkmoddervc.github.io/PS4JB/)
20:40:09	10735/10735	---M-Z	200	added ('OK')	text/html	etag:W/%226055f076-29ef%22	https://darkmoddervc.github.io/PS4JB/75XV2/index.html	C:/Mie%20pagine%20Web/ps4%20jailbreak%20dump/darkmoddervc.github.io/PS4JB/75XV2/index.html	(from https://darkmoddervc.github.io/PS4JB/)
20:40:10	3190/3190	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-c76%22	https://darkmoddervc.github.io/PS4JB/common/functions.js	C:/Mie%20pagine%20Web/ps4%20jailbreak%20dump/darkmoddervc.github.io/PS4JB/common/functions.js	(from https://darkmoddervc.github.io/PS4JB/index672.html)
20:40:10	31164/31164	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-79bc%22	https://darkmoddervc.github.io/PS4JB/common/exploit.js	C:/Mie%20pagine%20Web/ps4%20jailbreak%20dump/darkmoddervc.github.io/PS4JB/common/exploit.js	(from https://darkmoddervc.github.io/PS4JB/index672.html)
20:40:10	1307059/1307059	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-13f1b3%22	https://darkmoddervc.github.io/PS4JB/jb/jb.js	C:/Mie%20pagine%20Web/ps4%20jailbreak%20dump/darkmoddervc.github.io/PS4JB/jb/jb.js	(from https://darkmoddervc.github.io/PS4JB/index672.html)
20:40:11	3686764/3686764	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-38416c%22	https://darkmoddervc.github.io/PS4JB/jb/oldjb.js	C:/Mie%20pagine%20Web/ps4%20jailbreak%20dump/darkmoddervc.github.io/PS4JB/jb/oldjb.js	(from https://darkmoddervc.github.io/PS4JB/index672.html)
20:40:11	58609/58609	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-e4f1%22	https://darkmoddervc.github.io/PS4JB/payloads/app2usb.js	C:/Mie%20pagine%20Web/ps4%20jailbreak%20dump/darkmoddervc.github.io/PS4JB/payloads/app2usb.js	(from https://darkmoddervc.github.io/PS4JB/index672.html)
20:40:11	34913/34913	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-8861%22	https://darkmoddervc.github.io/PS4JB/payloads/backup.js	C:/Mie%20pagine%20Web/ps4%20jailbreak%20dump/darkmoddervc.github.io/PS4JB/payloads/backup.js	(from https://darkmoddervc.github.io/PS4JB/index672.html)
20:40:11	179300/179300	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-2bc64%22	https://darkmoddervc.github.io/PS4JB/payloads/preloader.js	C:/Mie%20pagine%20Web/ps4%20jailbreak%20dump/darkmoddervc.github.io/PS4JB/payloads/preloader.js	(from https://darkmoddervc.github.io/PS4JB/index672.html)
20:40:11	428511/428511	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-689df%22	https://darkmoddervc.github.io/PS4JB/payloads/loader.js	C:/Mie%20pagine%20Web/ps4%20jailbreak%20dump/darkmoddervc.github.io/PS4JB/payloads/loader.js	(from https://darkmoddervc.github.io/PS4JB/index672.html)
20:40:12	22135/22135	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-5677%22	https://darkmoddervc.github.io/PS4JB/payloads/disableupdates.js	C:/Mie%20pagine%20Web/ps4%20jailbreak%20dump/darkmoddervc.github.io/PS4JB/payloads/disableupdates.js	(from https://darkmoddervc.github.io/PS4JB/index672.html)
20:40:12	52669/52669	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-cdbd%22	https://darkmoddervc.github.io/PS4JB/payloads/dumper.js	C:/Mie%20pagine%20Web/ps4%20jailbreak%20dump/darkmoddervc.github.io/PS4JB/payloads/dumper.js	(from https://darkmoddervc.github.io/PS4JB/index672.html)
20:40:12	22042/22042	---M-Z	200	added ('OK')	application/javascript	etag:W/%226055f076-561a%22	https://darkmoddervc.github.io/PS4JB/payloads/enableupdates.js	C:/Mie%20pagine%20Web/ps4%20jailbreak%20dump/darkmoddervc.github.io/PS4JB/payloads/enableupdates.js	(from https://darkmoddervc.github.io/PS4JB/index672.html)
